source_model,samples,detected_as_ai_rate
GPT_4-o,7307,0.9846722321061996
Human_story,7235,0.6903939184519696
accounts/yi-01-ai/models/yi-large,7319,0.9576444869517694
gemma-2-9b,7310,0.8975376196990424
llama-8B,7304,0.8467962760131434
mistral-7B,7308,0.9813902572523262
qwen-2-72B,7314,0.9138638228055783
