source_model,samples,detected_as_ai_rate
GPT_4-o,7307,0.9618174353359792
Human_story,7235,0.4349689011748445
accounts/yi-01-ai/models/yi-large,7319,0.9972673862549528
gemma-2-9b,7310,0.9872777017783858
llama-8B,7304,0.920591456736035
mistral-7B,7308,0.9887794198139026
qwen-2-72B,7314,0.9343724364232978
