source_model,samples,detected_as_ai_rate
GPT_4-o,7307,1.0
Human_story,7235,0.88790601243953
accounts/yi-01-ai/models/yi-large,7319,0.9979505396912146
gemma-2-9b,7310,0.9976744186046511
llama-8B,7304,0.9839813800657174
mistral-7B,7308,0.9993158182813355
qwen-2-72B,7314,0.989198796828001
